restaurant,food,price,taste,location,portion_size,dish_category,description, source_url
DNR,Chicken Salad,30,N/A,East Legon,N/A,Salads,"Chicken, lettuce, onion, tomato, cucumber, pickle, sweet corn and lemon"
DNR,Egg Salad,30,N/A,East Legon,N/A,Salads,"Egg, lettuce, onion, tomato, lemon and red pepper"
DNR,Turkish Salad,30,N/A,East Legon,N/A,Salads,"Tomato, green pepper, cucumber, onion and lemon"
DNR,Potato Salad,30,N/A,East Legon,N/A,Salads,"Potato, lettuce, onion, tomato and lemon"
DNR,Fish Salad,30,N/A,East Legon,N/A,Salads,"Fish, cucumber, lettuce, onion, tomato, pickle, sweet corn and lemon"
DNR,Cheese Salad,30,N/A,East Legon,N/A,Salads,"Cheese, lettuce, onion, tomato, pickle, green olive, sweet corn and lemon"
DNR,Soup,12,N/A,East Legon,N/A,Appetizers,"Soup"
DNR,Balloon Bread,7,N/A,East Legon,N/A,Appetizers,"Balloon bread"
DNR,Cacik,12,N/A,East Legon,N/A,Appetizers,"Yoghurt-cucumber sauce"
DNR,Yoghurt,12,N/A,East Legon,N/A,Appetizers,"Plain yoghurt"
DNR,Humus Tahina,15,N/A,East Legon,N/A,Appetizers,"Humus Tahina"
DNR,Baba Ganush,15,N/A,East Legon,N/A,Appetizers,"Roasted eggplant dip"
DNR,Chicken Doner and Fried Rice,32,N/A,East Legon,N/A,Chickens,"Chicken doner meat served with vegetable fried rice"
DNR,Chicken Doner and Jollof Rice,32,N/A,East Legon,N/A,Chickens,"Chicken doner meat served with jollof rice"
DNR,Chicken Wings and Rice,35,N/A,East Legon,N/A,Chickens,"Chicken wings with plain rice"
DNR,Fried Chicken and Jollof Rice,26,N/A,East Legon,N/A,Chickens,"Deep fried chicken with jollof rice"
DNR,Beef Kebab and Rice,35,N/A,East Legon,N/A,Beefs,"Beef kebab with plain rice"
DNR,Kofte Kebab and Fried Rice,35,N/A,East Legon,N/A,Beefs,"Spiced beef kofte with vegetable fried rice"
DNR,Adana Kebab,37,N/A,East Legon,N/A,Beefs,"Minced spiced beef served with rice"
DNR,Iskender Kebab,40,N/A,East Legon,N/A,Beefs,"Traditional Turkish doner meat with sauce and yoghurt"
DNR,Lahmacun,28,N/A,East Legon,N/A,Pide,"Minced meat, tomato, green pepper, parsley & spices"
DNR,Izmir Pide,32,N/A,East Legon,N/A,Pide,"Shredded meat, tomato, green pepper & parsley"
DNR,Erzurum Pide,32,N/A,East Legon,N/A,Pide,"Chicken, mushroom, cheese, tomato & green pepper"
DNR,Cheese Wrap,16,N/A,East Legon,N/A,Vegetarian,"Cheese, tomato & green pepper wrap"
DNR,Chips Wrap,16,N/A,East Legon,N/A,Vegetarian,"Potato chips and chilli sauce wrap"
DNR,Arizona Pizza,25,N/A,East Legon,N/A,Pizzas,"Special sauce, cheese, thyme and tomato"
DNR,Brooklyn Pizza,27,N/A,East Legon,N/A,Pizzas,"Special sauce, cheese, mushroom, tomato and green pepper"
DNR,Miami Pizza,27,N/A,East Legon,N/A,Pizzas,"Special sauce, cheese, chicken with sauce, mushroom, tomato and green pepper"
DNR,Hollywod Pizza,27,N/A,East Legon,N/A,Pizzas,"Special sauce, cheese, mushroom, beef sausage, tomato, onion, green olive and green pepper"
restaurant,food,price,taste,location,portion_size,dish_category,description
Bistro 22,Butternut Squash Soup,100,N/A,Accra,N/A,Appetizers,"Goat cheese sprinkle"
Bistro 22,Beet Hummus,120,N/A,Accra,N/A,Appetizers,"Classic chickpea & beetroot dip"
Bistro 22,Spinach Artichoke Dip,210,N/A,Accra,N/A,Appetizers,"Spinach, artichoke, mix of cheese, tortilla chips"
Bistro 22,Fried Calamari,200,N/A,Accra,N/A,Appetizers,"Green chili, tartar dip"
Bistro 22,Shrimp Skewers,170,N/A,Accra,N/A,Appetizers,"Shrimps, coconut dip"
Bistro 22,Grilled Octopus,195,N/A,Accra,N/A,Appetizers,"Smoked paprika, mashed potatoes"
Bistro 22,Lemon Gamberi,180,N/A,Accra,N/A,Appetizers,"Shrimps, lemon ginger butter"
Bistro 22,Crunchy Chicken,130,N/A,Accra,N/A,Appetizers,"Breaded crust, sweet chili dip"
Bistro 22,Barbecue Wings,155,N/A,Accra,N/A,Appetizers,"Chicken wings, house-made barbecue sauce"
Bistro 22,Fried Brie Bites,260,N/A,Accra,N/A,Appetizers,"Breaded Brie cheese, rosemary crust, blueberry chutney"
Bistro 22,Octopus à la Provençale,200,N/A,Accra,N/A,Appetizers,"Lemon, garlic & coriander"
Bistro 22,Bistro’s Flatbread,280,N/A,Accra,N/A,Appetizers,"Goat cheese, arugula, tomato confit, dried cranberry, honey balsamic drizzle"
Bistro 22,Beef Carnitas Taco,165,N/A,Accra,N/A,Appetizers,"Pineapple, pico de gallo"
Bistro 22,The Original Burger,230,N/A,Accra,N/A,Gourmet Burgers,"Grilled chicken, lettuce, pickles, cheddar, onion rings, barbecue sauce"
Bistro 22,The Fish Burger,220,N/A,Accra,N/A,Gourmet Burgers,"Breaded grouper fillet, Lettuce, tartar sauce"
Bistro 22,The Brie Burger,280,N/A,Accra,N/A,Gourmet Burgers,"200g beef patty, brie cheese, mushrooms, lettuce, pickles, brie sauce"
Bistro 22,The Chicken Burger,220,N/A,Accra,N/A,Gourmet Burgers,"Grilled chicken, cheddar, onion rings, barbecue sauce"
Bistro 22,The Tex-Mex Burger,230,N/A,Accra,N/A,Gourmet Burgers,"Breaded chicken, jalapenos, nachos, cheddar, cuban sauce"
Bistro 22,Caesar Salad,180,N/A,Accra,N/A,Salads,"Romaine, reggiano, croutons, Caesar dressing (+chicken +45, +shrimps +65)"
Bistro 22,Fattoush,160,N/A,Accra,N/A,Salads,"Mixed greens, cucumber, mint, radish"
Bistro 22,Asian Salad,200,N/A,Accra,N/A,Salads,"Rice vermicelli, crab, cucumber, carrot, soy-ginger dressing"
Bistro 22,Beef Mango Salad,255,N/A,Accra,N/A,Salads,"Beef strips, avocado, mango, cherry tomato, mango dressing"
Bistro 22,Summer Salad,240,N/A,Accra,N/A,Salads,"Shrimps, citrus fruits, cucumber, carrots, tropical dressing"
